Topic,PassageID,Rank,Offset,length,tagid,Passage
200 , 8996242,49,26.162,26472,1065 ,"['cells', 'data', 'development', 'disease', 'effects', 'expression', 'levels', 'mice', 'role', 'similar', '½ï']"
200 , 10725079,50,26.128,1349,423 ,"['disease', 'patients']"
200 , 11035132,51,26.127,12568,803 ,"['10', 'disease', 'high']"
200 , 10556268,52,26.095,3107,650 ,"['activity', 'associated', 'disease', 'patients', 'results']"
200 , 15342927,53,26.06,6581,999 ,"['activity', 'al', 'associated', 'disease', 'et', 'et al', 'used']"
200 , 14623950,54,26.06,3715,1428 ,"['binding', 'cell', 'cells', 'control', 'dna', 'expression', 'gene', 'increased', 'patients', 'protein', 'results', 'serum']"
200 , 10817773,55,26.046,13631,1451 ,"['10', 'activity', 'disease', 'levels', 'patients', 'serum', 'studies', 'using']"
200 , 10534557,56,25.99,7728,1956 ,"['associated', 'development', 'disease', 'hiv', 'infection', 'patients', 'present', 'reported', 'serum', 'symptoms', 'treatment']"
200 , 12869674,57,25.871,978,515 ,"['associated', 'clinical', 'disease', 'patients', 'treatment']"
200 , 13130152,58,25.809,2652,687 ,"['activity', 'control', 'disease', 'dna', 'patients', 'using']"
200 , 12595613,59,25.703,13554,1676 ,"['activation', 'al', 'cells', 'disease', 'et', 'et al', 'high', 'increased', 'levels', 'patients', 'protein', 'proteins', 'response', 'results', 'using']"
200 , 12048290,60,25.679,6405,710 ,"['activity', 'disease', 'growth', 'including']"
200 , 10501412,61,25.597,2794,1524 ,"['10', 'activity', 'binding', 'clinical', 'dna', 'high', 'mechanism', 'patients', 'serum', 'study']"
200 , 15494350,62,25.521,18693,1008 ,"['10', 'clinical', 'disease', 'fig', 'increased', 'protein', 'serum', 'symptoms']"
200 , 15471861,63,25.519,8140,1419 ,"['10', 'activation', 'associated', 'cells', 'disease', 'expression', 'increased', 'patients', 'present', 'reported', 'serum', 'type']"
200 , 12393658,64,25.501,25780,915 ,"['associated', 'clinical', 'disease', 'dna']"
200 , 12832713,65,25.437,27700,2853 ,"['activation', 'activity', 'clinical', 'data', 'development', 'disease', 'domain', 'infection', 'levels', 'mechanism', 'pathway', 'patients', 'protein', 'response', 'role', 'serum', 'shown', 'studies', 'used']"
200 , 10809793,66,25.384,4546,1746 ,"['activity', 'clinical', 'disease', 'hiv', 'levels', 'patients', 'reported', 'serum', 'similar', 'studies', 'viral', '½ï']"
200 , 15947027,67,25.383,8162,738 ,"['activity', 'central', 'disease', 'effects', 'nervous', 'patients']"
200 , 11035132,68,25.376,36630,733 ,"['analysis', 'cell', 'data', 'expression', 'important', 'protein', 'reported', 'shown']"
200 , 12486097,69,25.36,57840,1012 ,"['activation', 'associated', 'binding', 'cells', 'complex', 'different', 'dna', 'expressed', 'expression', 'fig', 'lps', 'specific', 'type']"
200 , 12048290,70,25.338,44857,583 ,"['associated', 'disease', 'observed', 'patients']"
200 , 15814577,71,25.338,5656,125 ,"['activity', 'disease']"
200 , 12719372,72,25.293,39548,1073 ,"['analysis', 'associated', 'data', 'high', 'involved', 'levels', 'mice', 'observed', 'present', 'serum', 'shown', 'studies', 'using']"
200 , 10888701,73,25.291,2402,220 ,"['associated', 'proteins']"
200 , 12816875,74,25.28,28399,806 ,"['disease', 'high', 'patients', 'studies', 'used']"
200 , 12595612,75,25.279,100548,464 ,"['al', 'et', 'et al', 'levels', 'patients', 'serum', 'treatment']"
200 , 9063387,76,25.246,95912,655 ,"['disease', 'kinase', 'protein', 'used']"
200 , 11328927,77,25.24,380,679 ,"['associated', 'disease', 'new', 'observed', 'reported']"
200 , 10501419,78,25.214,9853,765 ,"['activity', 'clinical', 'control', 'disease', 'patients', 'treatment']"
200 , 11035132,79,25.2,37366,2839 ,"['activity', 'al', 'analysis', 'data', 'disease', 'et', 'et al', 'including', 'levels', 'patients', 'peptide', 'protein', 'proteins', 'reported', 'results', 'role', 'serum', 'shown', 'studies', 'study', 'using']"
200 , 14872100,80,25.194,5960,1103 ,"['10', 'activity', 'disease', 'levels', 'patients']"
200 , 10744642,81,25.181,3454,128 ,['disease']
200 , 14982879,82,25.178,8062,456 ,"['disease', 'including']"
200 , 14767037,83,25.124,6571,1130 ,"['associated', 'clinical', 'infection', 'serum', 'symptoms']"
200 , 12147803,84,25.105,3862,400 ,"['associated', 'function', 'patients', 'role']"
200 , 11934974,85,25.105,4950,733 ,"['associated', 'different', 'dna', 'factor', 'human', 'patients', 'recognition', 'serum', 'used', 'using']"
200 , 14726373,86,25.093,26556,156 ,"['activity', 'disease', 'increased', 'present']"
200 , 12154204,87,25.063,30226,969 ,"['10', 'activity', 'al', 'disease', 'et', 'et al', 'levels', 'patients', 'reported', 'serum', 'study']"
200 , 10501442,88,25.039,0,311 ,"['associated', 'disease']"
200 , 10501442,89,25.039,1606,287 ,"['disease', 'present']"
200 , 15731360,90,25.027,64616,541 ,"['acid', 'cell', 'disease', 'protein']"
200 , 15388826,91,24.89,15188,532 ,"['activity', 'al', 'associated', 'development', 'disease', 'et', 'et al', 'high', 'including', 'levels', 'patients', 'serum']"
200 , 12832713,92,24.83,0,185 ,"['activity', 'disease']"
200 , 9063387,93,24.818,2059,1870 ,"['activation', 'associated', 'cell', 'cells', 'different', 'disease', 'dna', 'kinase', 'new', 'observed', 'patients', 'protein', 'proteins', 'results', 'serum', 'using']"
200 , 15448217,94,24.811,1766,528 ,"['10', 'associated', 'including', 'shown', 'symptoms', 'used']"
200 , 14623949,95,24.785,34029,1136 ,"['associated', 'clinical', 'disease', 'observed', 'patients', 'proteins', 'serum']"
200 , 9129034,96,24.785,7632,947 ,"['different', 'disease', 'expression', 'gene', 'genes', 'human', 'increased', 'mice', 'mutations', 'protein', 'receptor', 'serum', 'studies']"
200 , 16000326,97,24.746,6775,2480 ,"['10', 'activation', 'associated', 'bone', 'cell', 'cells', 'development', 'disease', 'high', 'human', 'increased', 'levels', 'mice', 'mouse', 'patients', 'receptor', 'results', 'role', 'serum', 'studies']"
200 , 15226518,98,24.737,4370,146 ,"['activity', 'disease']"
200 , 15381790,99,24.713,6966,1496 ,"['activation', 'activity', 'associated', 'clinical', 'development', 'disease', 'important', 'levels', 'patients', 'protein', 'proteins', 'serum', 'studies']"
200 , 10587561,100,24.701,7345,1049 ,"['activation', 'activity', 'cells', 'control', 'disease', 'expressed', 'factor', 'growth', 'high', 'increased', 'levels', 'patients', 'receptor', 'reported', 'serum', 'similar']"
200 , 10501419,101,24.674,2273,770 ,"['activity', 'clinical', 'disease', 'patients', 'treatment']"
200 , 12595615,102,24.673,10021,935 ,"['central', 'clinical', 'disease', 'nervous', 'study']"
200 , 10501442,103,24.637,6574,278 ,"['associated', 'disease']"
200 , 12917256,104,24.616,4580,92 ,"['cell', 'development', 'serum', 'signaling']"
200 , 12917264,105,24.599,7800,1921 ,"['10', 'associated', 'binding', 'cell', 'data', 'different', 'effect', 'high', 'increased', 'levels', 'mechanisms', 'mice', 'mutations', 'pathway', 'present', 'protein', 'role', 'study', 'using']"
200 , 10556254,106,24.53,22971,510 ,"['high', 'patients', 'shown']"
200 , 12771439,107,24.516,9652,260 ,"['disease', 'patients', 'reported']"
200 , 15757967,108,24.505,13923,2253 ,"['activity', 'al', 'clinical', 'data', 'disease', 'dna', 'et', 'et al', 'including', 'patients', 'protein', 'serum', 'using']"
200 , 12595612,109,24.498,120753,385 ,"['disease', 'mechanism', 'patients']"
200 , 15479757,110,24.478,34980,999 ,"['activity', 'associated', 'complex', 'data', 'different', 'disease', 'fig', 'high', 'pathway', 'patients', 'shown']"
200 , 16030085,111,24.466,27736,563 ,"['activity', 'associated', 'disease', 'effect', 'patients']"
200 , 11981097,112,24.452,4211,263 ,"['associated', 'infection', 'viral']"
200 , 12867581,113,24.434,6651,1594 ,"['activity', 'associated', 'clinical', 'development', 'disease', 'high', 'levels', 'observed', 'patients', 'peptide', 'reported', 'response', 'serum', 'study']"
200 , 15353611,114,24.406,10663,423 ,"['10', 'activity', 'disease']"
200 , 14996755,115,24.403,41064,786 ,"['activation', 'associated', 'binding', 'disease', 'dna', 'gene', 'genes', 'sequence', 'shown']"
200 , 9104818,116,24.391,3563,717 ,"['activity', 'disease', 'dna', 'gene', 'genes', 'human', 'mouse', 'patients', 'serum', 'used']"
200 , 9373236,117,24.388,6741,1069 ,"['associated', 'cells', 'central', 'disease', 'domain', 'expression', 'function', 'human', 'mice', 'regulation', 'response', 'role', 'signal']"
200 , 12154210,118,24.385,11151,1148 ,"['disease', 'high', 'patients', 'results', 'study']"
200 , 15901907,119,24.382,28703,1673 ,"['acid', 'activity', 'associated', 'binding', 'disease', 'involved', 'levels', 'patients', 'present', 'protein', 'proteins', 'sequence', 'specific', 'studies', 'used']"
200 , 11035132,120,24.381,9006,1384 ,"['acid', 'activity', 'al', 'cell', 'disease', 'et', 'et al', 'expression', 'human', 'important', 'membrane', 'molecular', 'patients', 'peptide', 'present', 'protein', 'proteins', 'reported', 'sequence', 'shown', 'study', 'used', 'using']"
200 , 13130152,121,24.371,7859,432 ,"['10', 'activity', 'development', 'disease', 'patients']"
200 , 12239167,122,24.366,72742,898 ,"['activation', 'cells', 'data', 'dna', 'patients', 'response', 'serum']"
200 , 14739471,123,24.362,862,1295 ,"['associated', 'disease', 'dna', 'lung', 'reported', 'serum', 'type']"
200 , 15238619,124,24.321,64629,1174 ,"['associated', 'disease', 'expression', 'gene', 'mechanisms', 'pathway', 'proteins', 'role', 'serum']"
200 , 15342925,125,24.27,2463,427 ,"['activity', 'disease', 'patients', 'study', 'using']"
200 , 14623950,126,24.257,55151,2983 ,"['activity', 'associated', 'binding', 'cell', 'cells', 'control', 'disease', 'dna', 'high', 'including', 'increased', 'membrane', 'patients', 'present', 'proteins', 'results', 'similar', 'study', 'treatment']"
200 , 14963203,127,24.196,18764,1630 ,"['activity', 'associated', 'cells', 'disease', 'levels', 'patients', 'proteins', 'response', 'results', 'role', 'serum']"
200 , 15901907,128,24.178,19449,2658 ,"['data', 'disease', 'high', 'human', 'levels', 'patients', 'response', 'serum']"
200 , 8996242,129,24.159,5373,1092 ,"['10', 'activity', 'development', 'disease', 'important', 'involved', 'mice', 'shown', 'specific', 'treatment', '½ï']"
200 , 15479755,130,24.143,7793,551 ,"['activity', 'disease', 'high', 'levels', 'patients', 'study', 'used']"
200 , 16204302,131,24.117,12056,1322 ,"['activity', 'clinical', 'data', 'disease', 'dna', 'levels', 'patients', 'present', 'results', 'serum', 'study', 'symptoms']"
200 , 10570103,132,24.075,9154,1027 ,"['al', 'clinical', 'disease', 'et', 'et al', 'patients', 'serum', 'studies', 'study']"
200 , 16260486,133,24.065,13105,902 ,"['activation', 'associated', 'cells', 'data', 'proteins', 'receptors', 'studies', 'viral']"
200 , 14736982,134,24.063,1044,133 ,"['cell', 'disease']"
200 , 15226518,135,24.049,18086,929 ,"['activity', 'associated', 'clinical', 'disease', 'patients', 'results', 'shown', 'symptoms']"
200 , 9354669,136,24.041,13912,958 ,"['disease', 'factor', 'patients', 'protein', 'serum', 'used', '½ï']"
200 , 12048297,137,24.006,2090,963 ,"['10', 'disease', 'dna', 'serum']"
200 , 16030085,138,23.999,16202,1263 ,"['activity', 'data', 'disease', 'protein', 'serum', 'study']"
200 , 14623950,139,23.999,5848,1903 ,"['activity', 'disease', 'dna', 'high', 'important', 'patients', 'serum', 'shown']"
200 , 15226518,140,23.996,7173,856 ,"['activity', 'clinical', 'disease', 'patients']"
200 , 15226518,141,23.986,25151,659 ,"['activity', 'disease', 'used']"
200 , 14963211,142,23.983,6277,199 ,"['disease', 'patients']"
200 , 15266059,143,23.967,3029,1168 ,"['disease', 'high', 'levels', 'patients', 'results', 'serum', 'study']"
200 , 16330812,144,23.95,11645,955 ,"['activation', 'al', 'central', 'disease', 'et', 'et al', 'including', 'proteins', 'serum', 'similar', 'studies']"
200 , 12270986,145,23.898,32204,940 ,"['activity', 'cell', 'cells', 'clinical', 'development', 'disease', 'dna', 'increased', 'mice', 'patients', 'shown']"
200 , 16027240,146,23.883,15596,991 ,"['activation', 'cell', 'clinical', 'data', 'disease', 'mechanism', 'mechanisms', 'mice', 'role', 'used']"
200 , 12011378,147,23.855,16558,472 ,"['associated', 'disease', 'patients', 'viral']"
200 , 15927996,148,23.842,16054,1259 ,"['activity', 'cell', 'cells', 'clinical', 'development', 'disease', 'high', 'important', 'levels', 'mice', 'patients', 'present', 'response', 'role', 'shown', 'used']"
200 , 12832713,149,23.837,6103,194 ,"['activity', 'disease']"
200 , 15840592,150,23.832,39974,1419 ,"['analysis', 'associated', 'cells', 'complex', 'development', 'disease', 'dna', 'high', 'human', 'levels', 'mice', 'mouse', 'observed', 'present', 'response', 'shown', 'studies', 'study', 'used']"
200 , 15197227,151,23.828,16029,848 ,"['cell', 'disease', 'important', 'levels', 'patients', 'role', 'serum']"
200 , 9660804,152,23.824,6829,1616 ,"['10', 'associated', 'central', 'disease', 'dna', 'effects', 'function', 'levels', 'nervous', 'patients', 'serum', 'study', '½ï']"
200 , 10330443,153,23.822,0,178 ,"['cells', 'mouse', 'role', 'serum']"
200 , 16230478,154,23.802,55864,2836 ,"['acid', 'activation', 'associated', 'cell', 'cells', 'central', 'complex', 'disease', 'expressed', 'expression', 'high', 'human', 'involved', 'levels', 'mice', 'observed', 'patients', 'present', 'receptors', 'recognition', 'response', 'role', 'serum', 'shown', 'similar', 'viral']"
200 , 15266060,155,23.797,6674,1080 ,"['associated', 'different', 'disease', 'increased', 'observed', 'patients', 'reported', 'serum', 'studies']"
200 , 10580016,156,23.796,722,567 ,"['associated', 'cancer', 'data', 'disease', 'increased', 'patients', 'study', 'using']"
200 , 15914499,157,23.777,1038,505 ,"['associated', 'clinical', 'dna', 'specific']"
200 , 10501412,158,23.759,247,1073 ,"['associated', 'clinical', 'disease', 'human', 'observed', 'patients', 'role']"
200 , 12730502,159,23.755,9450,585 ,"['activity', 'disease', 'including', 'patients', 'study']"
200 , 11067883,160,23.74,6274,1255 ,"['10', 'activation', 'associated', 'cells', 'expression', 'function', 'human', 'increased', 'mice', 'observed', 'pathway', 'proteins', 'reported', 'serum', 'shown']"
200 , 15263031,161,23.712,15701,1074 ,"['cell', 'cells', 'complex', 'development', 'disease', 'high', 'human', 'including', 'similar', 'studies']"
200 , 7768953,162,23.709,9506,512 ,"['al', 'clinical', 'et', 'et al', 'mouse', 'protein', 'serum']"
200 , 14757744,163,23.699,12920,3662 ,"['al', 'associated', 'disease', 'dna', 'et', 'et al', 'high', 'mice', 'patients', 'reported', 'studies']"
200 , 12730527,164,23.692,4307,429 ,"['activity', 'clinical', 'disease', 'increased', 'infection', 'mice', 'response']"
200 , 15661863,165,23.69,62493,1254 ,"['associated', 'cancer', 'disease', 'expression', 'factor', 'gene', 'increased', 'patients', 'receptors', 'role', 'shown', 'specific']"
200 , 15901907,166,23.67,10348,541 ,"['mouse', 'peptide', 'studies']"
200 , 15749717,167,23.659,7822,656 ,"['cells', 'disease', 'including', 'mice', 'serum', 'study', 'used']"
200 , 11007826,168,23.641,5786,493 ,"['associated', 'disease', 'increased', 'present', 'protein']"
200 , 15695294,169,23.638,1069,1163 ,"['associated', 'development', 'disease', 'high']"
200 , 11136835,170,23.63,8618,212 ,[]
200 , 12011369,171,23.602,3086,890 ,"['activity', 'cells', 'clinical', 'disease', 'expression', 'high', 'levels', 'observed', 'patients', 'protein', 'serum', 'treatment']"
200 , 16105908,172,23.599,0,355 ,['high']
200 , 14963215,173,23.584,614,637 ,"['al', 'disease', 'effects', 'et', 'et al', 'high', 'levels', 'patients']"
200 , 10817783,174,23.58,806,1252 ,"['activity', 'protein', 'serum', 'study', 'symptoms']"
200 , 12048297,175,23.58,613,1268 ,"['activity', 'disease', 'high', 'infection', 'patients', 'present', 'response', 'treatment']"
200 , 12959991,176,23.57,51337,193 ,['peptide']
200 , 10587359,177,23.561,5506,1609 ,"['10', 'activity', 'analysis', 'associated', 'binding', 'cells', 'clinical', 'development', 'expression', 'factor', 'genes', 'mouse', 'mutations', 'studies']"
200 , 9730900,178,23.545,2581,2705 ,"['activity', 'development', 'disease', 'dna', 'high', 'levels', 'mice', 'results', 'role', 'similar', 'study', 'treatment']"
200 , 10662869,179,23.534,9492,1917 ,"['cells', 'clinical', 'development', 'different', 'disease', 'expression', 'gene', 'genes', 'human', 'increased', 'mice', 'observed', 'protein', 'receptor', 'results', 'role']"
200 , 12209039,180,23.513,36947,1401 ,"['associated', 'disease', 'factor', 'lung', 'patients', 'present', 'reported', 'serum', 'symptoms', 'using']"
200 , 12923269,181,23.482,1044,914 ,"['activity', 'clinical', 'disease', 'including', 'patients', 'study']"
200 , 12239149,182,23.481,6441,329 ,['central']
200 , 10938276,183,23.475,75460,478 ,"['expressed', 'factor', 'tumor', 'used']"
200 , 10986308,184,23.47,18530,699 ,"['activity', 'disease', 'patients', 'shown']"
200 , 15342925,185,23.468,3864,255 ,"['activity', 'disease', 'patients']"
200 , 16076883,186,23.467,44108,907 ,"['associated', 'clinical', 'disease', 'effects', 'studies']"
200 , 14872100,187,23.453,8584,812 ,"['acid', 'activity', 'clinical', 'disease', 'dna', 'levels', 'shown', 'treatment']"
200 , 10587360,188,23.407,52087,2188 ,"['cells', 'control', 'data', 'disease', 'fig', 'high', 'levels', 'mice', 'mouse', 'observed', 'patients', 'serum', 'shown']"
200 , 16049051,189,23.402,21452,513 ,"['analysis', 'disease']"
200 , 8996242,190,23.396,14265,164 ,"['expression', '½ï']"
200 , 9310494,191,23.379,0,248 ,"['associated', 'clinical', 'disease', 'expression', 'high', 'membrane', 'protein']"
200 , 11792881,192,23.364,39512,937 ,"['development', 'disease', 'factor', 'patients', 'role', 'study']"
200 , 15388841,193,23.359,5740,1389 ,"['al', 'clinical', 'development', 'et', 'et al', 'high', 'levels', 'patients', 'present', 'protein', 'reported', 'serum', 'symptoms', 'using']"
200 , 12364642,194,23.356,5786,578 ,"['disease', 'symptoms']"
200 , 11934974,195,23.335,3034,1223 ,"['al', 'binding', 'cell', 'disease', 'et', 'et al', 'factor', 'human', 'increased', 'mouse', 'patients', 'present', 'serum', 'shown', 'used', 'using']"
200 , 12454207,196,23.333,4479,4815 ,"['activation', 'activity', 'al', 'associated', 'central', 'clinical', 'data', 'disease', 'et', 'et al', 'high', 'important', 'increased', 'patients', 'reported', 'serum', 'specific', 'studies', 'treatment']"
200 , 10788530,197,23.323,12896,818 ,"['associated', 'effect', 'factor', 'high', 'including', 'increased', 'levels', 'patients', 'role']"
200 , 11792886,198,23.314,23152,1903 ,"['activation', 'al', 'cancer', 'cell', 'cells', 'disease', 'dna', 'et', 'et al', 'expression', 'factor', 'mice', 'mutations', 'patients', 'protein', 'response', 'serum', 'study']"
200 , 16159953,199,23.308,8353,782 ,"['10', 'associated', 'disease', 'genes', 'involved', 'protein', 'type']"
200 , 11136884,200,23.307,16919,458 ,"['patients', 'virus']"
200 , 10501422,201,23.302,6437,168 ,[]
200 , 11274285,202,23.295,11325,559 ,"['al', 'associated', 'disease', 'et', 'et al', 'patients']"
200 , 10534545,203,23.271,9607,388 ,"['10', 'activity', 'disease', 'patients', 'study', 'treatment']"
200 , 11085822,204,23.27,2399,296 ,['present']
200 , 9268371,205,23.267,3887,2089 ,"['cell', 'cells', 'domain', 'expression', 'high', 'human', 'mechanisms', 'protein', 'proteins', 'receptors', 'recognition', 'response', 'sequence', 'similar', 'study']"
200 , 12832713,206,23.234,4042,239 ,"['activity', 'disease']"
200 , 12649405,207,23.22,3618,155 ,['disease']
200 , 15870153,208,23.214,8142,2366 ,"['al', 'cell', 'cells', 'control', 'development', 'disease', 'et', 'et al', 'expressed', 'expression', 'factor', 'gene', 'human', 'mechanisms', 'mice', 'patients', 'results', 'serum', 'studies']"
200 , 11792884,209,23.161,31105,504 ,"['analysis', 'associated', 'disease', 'high', 'levels', 'serum']"
200 , 11333257,210,23.16,5533,999 ,"['activity', 'binding', 'dna', 'expressed', 'factor', 'human', 'patients', 'protein', 'reported', 'specific', 'virus']"
200 , 12393658,211,23.152,40424,685 ,"['clinical', 'data', 'expression', 'increased', 'new']"
200 , 14623950,212,23.146,7754,830 ,"['cells', 'effect', 'mechanism', 'patients', 'present', 'serum']"
200 , 9731066,213,23.144,59606,1202 ,"['associated', 'cells', 'clinical', 'disease', 'increased', 'involved', 'levels', 'observed', 'patients', 'present', 'serum', 'study', '½ï']"
200 , 15226518,214,23.124,10106,796 ,"['activity', 'clinical', 'disease', 'dna', 'patients', 'protein', 'study']"
200 , 11929783,215,23.111,5669,1171 ,"['involved', 'patients', 'serum', 'type']"
200 , 14764608,216,23.11,61974,546 ,"['cell', 'serum', 'signal', 'used']"
200 , 15673694,217,23.097,14952,1387 ,"['clinical', 'complex', 'disease', 'dna', 'high', 'hiv', 'including', 'infection', 'levels', 'patients', 'specific', 'symptoms']"
200 , 10986300,218,23.095,43800,1918 ,"['associated', 'levels', 'patients', 'results', 'role', 'shown']"
200 , 10942408,219,23.09,34089,136 ,"['associated', 'levels', 'serum', 'type']"
200 , 9063387,220,23.087,7300,1702 ,"['activation', 'cell', 'cells', 'disease', 'kinase', 'patients', 'protein', 'proteins', 'results', 'serum', 'specific']"
200 , 10788530,221,23.083,14994,892 ,"['associated', 'bone', 'disease', 'factor', 'important', 'patients', 'study', 'treatment']"
200 , 10534541,222,23.081,89764,931 ,"['activity', 'associated', 'disease', 'patients', 'reported']"
200 , 12566413,223,23.068,42752,1446 ,"['activation', 'associated', 'development', 'increased', 'levels', 'mechanisms', 'patients', 'reported', 'serum', 'shown']"
200 , 15213333,224,23.067,4218,205 ,"['gene', 'mice']"
200 , 11035132,225,23.065,4753,179 ,"['cell', 'expression', 'protein']"
200 , 11641382,226,23.011,34438,1217 ,"['disease', 'expression', 'genes', 'human', 'mouse', 'receptors', '½ï']"
200 , 15998631,227,22.981,9968,632 ,"['associated', 'different', 'gene', 'human', 'including']"
200 , 10952757,228,22.971,710,611 ,"['development', 'factor', 'patients', 'treatment']"
200 , 9310488,229,22.962,9063,694 ,"['disease', 'infection', 'patients', 'study', 'treatment']"
200 , 14684420,230,22.96,8514,1498 ,"['associated', 'disease', 'factor', 'muscle', 'patients', 'serum', 'study', 'treatment']"
